# 7.010E-01  1.000E-02  X, Z
#    17                 No. of Elements
#     1   9.052E-01     Atomic No., Normalised Abundance
#     2   9.399E-02
#     6   1.882E-04
#     7   4.949E-05
#     8   3.932E-04
#    10   6.234E-05
#    11   1.132E-06
#    12   2.016E-05
#    13   1.568E-06
#    14   1.882E-05
#    16   8.605E-06
#    18   1.759E-06
#    20   1.216E-06
#    24   2.478E-07
#    25   1.300E-07
#    26   1.716E-05
#    28   9.408E-07
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   7.193E+00   1.966E+00  -1.615E+00  -1.675E-02  -1.584E+00   3.286E-01
   7.191E+00   1.963E+00  -1.611E+00  -1.447E-02  -1.590E+00   3.303E-01
   7.189E+00   1.959E+00  -1.608E+00  -1.200E-02  -1.596E+00   3.322E-01
   7.187E+00   1.955E+00  -1.604E+00  -9.292E-03  -1.603E+00   3.342E-01
   7.184E+00   1.951E+00  -1.601E+00  -6.366E-03  -1.610E+00   3.364E-01
   7.181E+00   1.947E+00  -1.596E+00  -3.264E-03  -1.618E+00   3.387E-01
   7.178E+00   1.941E+00  -1.593E+00  -1.711E-04  -1.625E+00   3.410E-01
   7.175E+00   1.931E+00  -1.593E+00   1.504E-03  -1.628E+00   3.424E-01
   7.172E+00   1.924E+00  -1.593E+00   3.342E-03  -1.632E+00   3.438E-01
   7.169E+00   1.917E+00  -1.591E+00   5.520E-03  -1.636E+00   3.455E-01
   7.167E+00   1.911E+00  -1.589E+00   7.890E-03  -1.642E+00   3.473E-01
   7.164E+00   1.905E+00  -1.587E+00   1.037E-02  -1.647E+00   3.491E-01
   7.161E+00   1.899E+00  -1.584E+00   1.291E-02  -1.653E+00   3.510E-01
   7.158E+00   1.893E+00  -1.582E+00   1.551E-02  -1.659E+00   3.529E-01
   7.155E+00   1.887E+00  -1.579E+00   1.815E-02  -1.665E+00   3.548E-01
   7.152E+00   1.880E+00  -1.577E+00   2.084E-02  -1.672E+00   3.568E-01
   7.149E+00   1.874E+00  -1.574E+00   2.359E-02  -1.678E+00   3.588E-01
   7.146E+00   1.867E+00  -1.572E+00   2.640E-02  -1.684E+00   3.608E-01
   7.143E+00   1.860E+00  -1.569E+00   2.927E-02  -1.690E+00   3.628E-01
   7.140E+00   1.853E+00  -1.566E+00   3.221E-02  -1.697E+00   3.648E-01
   7.137E+00   1.846E+00  -1.563E+00   3.523E-02  -1.703E+00   3.669E-01
   7.133E+00   1.839E+00  -1.560E+00   3.833E-02  -1.710E+00   3.691E-01
   7.130E+00   1.832E+00  -1.558E+00   4.141E-02  -1.716E+00   3.712E-01
   7.126E+00   1.824E+00  -1.555E+00   4.447E-02  -1.722E+00   3.732E-01
   7.123E+00   1.817E+00  -1.552E+00   4.751E-02  -1.728E+00   3.752E-01
   7.120E+00   1.809E+00  -1.550E+00   5.052E-02  -1.734E+00   3.772E-01
   7.116E+00   1.802E+00  -1.547E+00   5.351E-02  -1.739E+00   3.792E-01
   7.113E+00   1.795E+00  -1.544E+00   5.648E-02  -1.745E+00   3.811E-01
   7.110E+00   1.788E+00  -1.542E+00   5.941E-02  -1.750E+00   3.830E-01
   7.107E+00   1.780E+00  -1.539E+00   6.233E-02  -1.755E+00   3.849E-01
   7.103E+00   1.773E+00  -1.537E+00   6.521E-02  -1.761E+00   3.868E-01
   7.100E+00   1.766E+00  -1.534E+00   6.807E-02  -1.766E+00   3.886E-01
   7.097E+00   1.758E+00  -1.532E+00   7.090E-02  -1.771E+00   3.905E-01
   7.094E+00   1.751E+00  -1.530E+00   7.370E-02  -1.776E+00   3.923E-01
   7.090E+00   1.744E+00  -1.528E+00   7.648E-02  -1.782E+00   3.940E-01
   7.087E+00   1.737E+00  -1.525E+00   7.923E-02  -1.788E+00   3.958E-01
   7.084E+00   1.729E+00  -1.523E+00   8.195E-02  -1.794E+00   3.975E-01
   7.081E+00   1.722E+00  -1.521E+00   8.465E-02  -1.800E+00   3.992E-01
   7.078E+00   1.715E+00  -1.519E+00   8.732E-02  -1.807E+00   4.009E-01
   7.075E+00   1.708E+00  -1.517E+00   8.997E-02  -1.814E+00   4.025E-01
   7.072E+00   1.700E+00  -1.515E+00   9.259E-02  -1.820E+00   4.041E-01
   7.069E+00   1.693E+00  -1.513E+00   9.519E-02  -1.827E+00   4.057E-01
   7.066E+00   1.686E+00  -1.512E+00   9.777E-02  -1.835E+00   4.072E-01
   7.063E+00   1.679E+00  -1.510E+00   1.003E-01  -1.842E+00   4.087E-01
   7.060E+00   1.671E+00  -1.508E+00   1.029E-01  -1.849E+00   4.101E-01
   7.057E+00   1.664E+00  -1.507E+00   1.054E-01  -1.857E+00   4.115E-01
   7.054E+00   1.657E+00  -1.505E+00   1.079E-01  -1.864E+00   4.128E-01
   7.051E+00   1.649E+00  -1.504E+00   1.104E-01  -1.872E+00   4.141E-01
   7.048E+00   1.642E+00  -1.502E+00   1.128E-01  -1.879E+00   4.153E-01
   7.045E+00   1.635E+00  -1.501E+00   1.152E-01  -1.887E+00   4.164E-01
   7.042E+00   1.628E+00  -1.499E+00   1.177E-01  -1.894E+00   4.175E-01
   7.039E+00   1.620E+00  -1.498E+00   1.201E-01  -1.901E+00   4.185E-01
   7.037E+00   1.613E+00  -1.497E+00   1.224E-01  -1.909E+00   4.195E-01
   7.034E+00   1.606E+00  -1.495E+00   1.248E-01  -1.916E+00   4.204E-01
   7.031E+00   1.598E+00  -1.494E+00   1.272E-01  -1.924E+00   4.213E-01
   7.028E+00   1.591E+00  -1.493E+00   1.295E-01  -1.931E+00   4.221E-01
   7.025E+00   1.584E+00  -1.492E+00   1.318E-01  -1.938E+00   4.229E-01
