# 7.010E-01  1.800E-02  X, Z	# 7.010E-01  1.800E-02  X, Z
#    17                 No. of Elements	#    17                 No. of Elements
#     1   9.071E-01     Atomic No., Normalised Abundance	#     1   9.071E-01     Atomic No., Normalised Abundance
#     2   9.157E-02	#     2   9.157E-02
#     6   2.655E-04	#     6   8.362E-06
#     7   7.808E-05	#     7   4.037E-04
#     8   7.183E-04	#     8   6.632E-04
#    10   1.273E-04	#    10   1.175E-04
#    11   2.311E-06	#    11   2.134E-06
#    12   4.116E-05	#    12   3.800E-05
#    13   3.201E-06	#    13   2.956E-06
#    14   3.841E-05	#    14   3.547E-05
#    16   1.757E-05	#    16   1.622E-05
#    18   3.592E-06	#    18   3.316E-06
#    20   2.483E-06	#    20   2.292E-06
#    24   5.059E-07	#    24   4.671E-07
#    25   2.655E-07	#    25   2.451E-07
#    26   3.504E-05	#    26   3.235E-05
#    28   1.921E-06	#    28   1.773E-06
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr	#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   7.217E+00   2.001E+00  -1.649E+00   5.168E-02  -1.645E+00   3.024E-01	   7.217E+00   2.001E+00  -1.649E+00   4.107E-02  -1.638E+00   3.036E-01
   7.217E+00   2.001E+00  -1.649E+00   5.185E-02  -1.645E+00   3.026E-01	   7.217E+00   2.001E+00  -1.649E+00   4.124E-02  -1.638E+00   3.037E-01
   7.216E+00   2.001E+00  -1.649E+00   5.203E-02  -1.646E+00   3.027E-01	   7.216E+00   2.001E+00  -1.649E+00   4.142E-02  -1.638E+00   3.039E-01
   7.216E+00   2.000E+00  -1.649E+00   5.223E-02  -1.646E+00   3.028E-01	   7.216E+00   2.000E+00  -1.649E+00   4.162E-02  -1.639E+00   3.040E-01
   7.216E+00   2.000E+00  -1.648E+00   5.245E-02  -1.647E+00   3.030E-01	   7.216E+00   2.000E+00  -1.648E+00   4.183E-02  -1.639E+00   3.041E-01
   7.216E+00   2.000E+00  -1.648E+00   5.268E-02  -1.647E+00   3.031E-01	   7.216E+00   2.000E+00  -1.648E+00   4.206E-02  -1.640E+00   3.043E-01
   7.216E+00   2.000E+00  -1.648E+00   5.293E-02  -1.648E+00   3.033E-01	   7.216E+00   2.000E+00  -1.648E+00   4.231E-02  -1.640E+00   3.045E-01
   7.215E+00   1.999E+00  -1.647E+00   5.320E-02  -1.648E+00   3.035E-01	   7.215E+00   1.999E+00  -1.647E+00   4.257E-02  -1.641E+00   3.047E-01
   7.215E+00   1.999E+00  -1.647E+00   5.349E-02  -1.649E+00   3.037E-01	   7.215E+00   1.999E+00  -1.647E+00   4.286E-02  -1.641E+00   3.049E-01
   7.215E+00   1.998E+00  -1.647E+00   5.380E-02  -1.649E+00   3.039E-01	   7.215E+00   1.998E+00  -1.647E+00   4.318E-02  -1.642E+00   3.051E-01
